MaterialNumber,Predicted_ARIMA,Predicted_ETS,Predicted_Jan_2024,Predicted_Feb_2024,Predicted_AUTOARIMA,Predicted_Tuned_SARIMA,Predicted_Croston,Predicted_XGB
sku835,1792.0,-300.2714714965407,1773.0782,1766.4003,649.150484970481,158.12839129396207,1841.2567,53.49585
sku858,1355.0,-280.40391506070216,1072.7565,972.32214,462.21953987443965,264.63407054722336,848.0225,708.9038
sku837,724.0,-653.040666542802,770.8889,785.40247,241.6909552664429,-0.4870367806669691,523.7667,127.313835
sku859,795.9999999999999,-750.0681624070992,729.50116,697.70825,365.40125885825444,163.90484564083218,506.1194,365.2727
sku863,1221.0,236.49952161995287,681.484,571.6,472.02252341534955,420.6073443081956,558.9465,336.89517
sku862,1130.0,147.45420501357137,782.6688,659.3642,350.9612273852514,225.44677055627196,657.7843,665.9885
sku903,667.0,254.00958141162823,504.6751,477.5036,390.82432203350356,165.5402915551635,547.7791,246.58948
sku1127,68.0,-500.71745310459306,143.89641,199.63637,4.716353271552138,-21.682686067991412,81.55972,59.44534
sku169,79.0,-406.91384878822794,179.70927,231.42146,155.8816938827442,12.005848747138522,120.93023,72.09478
sku230,158.0,-548.2374343291003,232.18007,265.26025,259.6578071761071,-13.362599224191642,153.67383,292.33084
sku947,244.0,-25.9054038907002,268.82657,273.40836,191.52311153028353,39.94413216698524,245.37274,12.831897
sku1080,71.0,-268.7265406387557,178.74535,233.72885,228.58670996486768,35.329790209667046,107.251305,52.50897
sku1129,32.0,-407.77820837381546,121.52931,172.1517,32.0,22.84500315013323,38.03045,50.72871
sku1226,83.0,-241.47587330148656,148.92981,189.40953,187.86923084988797,47.01257452335112,119.83494,105.87996
sku861,235.0,-157.38990016126982,238.34624,239.97725,235.0,24.991229049580866,125.90559,22.756176
sku120,348.0,171.75572430386987,323.8537,305.49924,253.13508847347845,-59.58141470368829,417.82812,666.2806
sku1278,88.0,-126.13361657005875,152.34161,186.6035,123.60934072152631,86.15721285620981,97.19215,111.9069
sku1081,67.0,-204.92174011410256,155.70374,192.83488,70.2832773369417,5.088134600583043,56.284107,53.468327
sku270,8.0,-223.02709380363356,107.33228,158.70691,36.4045625498313,1.647822438007176,69.239746,15.160123
sku492,192.0,-46.2236046149966,188.53224,187.03122,76.6663129853102,4.30160332989262,178.43823,156.62328
sku1280,16.0,-111.9914048101148,183.56906,193.22198,84.41491292443993,106.30976406311436,74.30738,163.23618
sku255,262.00000000000006,157.3815292906711,257.39603,254.77612,236.45678512406846,-4.306206004403332,331.07748,22.215746
sku709,303.99999999999994,28.1355792483331,286.91412,279.90182,171.4553090475443,-37.71705953305977,330.75635,279.1242
sku1174,91.0,-81.35777431114118,136.21819,157.39185,134.8055648333417,91.05351077236952,109.06085,107.85946
sku239,12.0,-270.33242673098607,87.01403,125.03319,12.0,0.15707901318467854,23.168198,12.995519
sku209,168.0,-302.80897357257743,174.58136,177.62898,103.77925953787891,3.3995524485168773,99.45416,8.279514
sku498,14.0,-300.46289619402387,109.77261,148.14069,78.16546709230576,-32.72709114403755,41.328556,21.243378
sku949,12.0,-112.26378529155184,145.33705,168.01619,91.71971195188935,0.29187383529447075,68.39651,46.45467
sku138,97.0,-98.39704495660652,127.70847,143.22626,89.89324847622466,-4.2242767038191005,106.84208,15.239608
sku1009,76.0,-100.62631272698471,117.54271,140.13965,47.08512812436832,18.214867774272022,79.70889,24.976204
sku1011,67.0,-86.14660837238014,93.41268,112.64364,67.0,46.73096411666841,49.689156,74.612625
sku905,74.0,75.8308517627166,138.48929,152.48648,16.0,22.075193640717018,155.90485,1.0452889
sku231,17.0,-159.49079470744985,125.52111,150.94612,152.4736842105264,-1.0607024173441284,66.9344,24.02231
sku716,76.0,-89.59927256833967,129.1262,147.71921,149.97503794889752,15.24483736278427,123.210815,6.5029893
sku499,15.000000000000004,-288.4574822421117,103.51849,134.79842,116.87942593558473,-4.918382292962417,49.73758,9.480575
sku271,21.0,-132.78575054931886,75.70045,105.27686,6.801687343479115,-6.044924467305316,49.21392,18.453054
sku122,104.0,-124.66990662095041,127.11268,136.0339,95.3266077004738,-2.383897981170838,86.49363,185.5673
sku486,99.0,-157.47624706931896,118.190445,131.13377,117.70046374961709,1.0393411079050736,160.53905,10.532748
sku327,123.00000000000001,-120.54919640503161,124.52758,125.31392,99.42870141567026,-2.6198820180126554,107.68861,15.14545
sku366,96.0,-181.05687267282042,112.47283,119.58695,94.56683712952946,-2.505153128349065,123.64855,2.000449
sku1123,105.0,-19.673669577182835,125.28537,141.64069,156.0727970368268,39.00345333810471,179.66786,147.1594
sku167,114.0,96.81562226857369,119.24907,121.47465,8.57422858287719,8.56676416890217,194.7631,113.75539
sku824,853.9999999999999,861.2485640436365,686.4773,597.31165,466.61657316500873,152.43408701849,500.54855,158.15709
sku1119,84.99999999999999,4.20423991025983,102.05904,115.350685,144.67839423654263,-144.49114478733566,182.96988,180.0716
sku1176,100.0,-125.01138367171579,112.36032,119.52672,93.32880776789946,6.472996056931201,60.537754,128.65254
sku1227,15.000000000000004,-107.43203865160103,92.80671,115.45651,48.067236222232424,11.538329708654462,52.229942,23.017212
sku184,0.0,-124.71508091030697,88.18346,110.117065,39.501026948405155,15.968777635074543,54.00193,3.2582834
sku652,25.0,-115.11111190883297,66.82965,88.19953,-26.922322816413597,5.267426011367302,155.31036,123.004105
sku734,0.0,-157.54112211785224,57.334625,81.93973,75.71249074845772,-5.487239404216536,35.144093,9.2550335
