material,best_model,forecast_value
sku1009,ARIMA,85.81083445240208
sku1011,Croston,49.68915557861328
sku1080,Theta,94.29444881738291
sku1081,Croston,56.28410720825195
sku1119,ARIMA,144.02779356517087
sku1123,ARIMA,157.71926995362972
sku1127,Croston,81.55972290039062
sku1129,ARIMA,33.7336564950436
sku1174,Croston,109.06085205078125
sku1176,Croston,60.53775405883789
sku120,ARIMA,331.63557275627056
sku122,ARIMA,138.33944430666267
sku1226,Croston,119.8349380493164
sku1227,Theta,46.93806158413848
sku1278,Theta,83.58849797022454
sku1280,Theta,53.05875060460362
sku138,Croston,106.84207916259766
sku167,SARIMA,68.7912789928258
sku169,ARIMA,98.9949144879518
sku184,Theta,27.69384516559512
sku209,Croston,99.45416259765625
sku230,Croston,153.673828125
sku231,Croston,66.93440246582031
sku239,ARIMA,0.0
sku255,SARIMA,121.93173027195321
sku270,Croston,69.23974609375
sku271,SARIMA,0.0
sku327,ARIMA,125.58666355159238
sku366,ARIMA,126.61353272306411
sku486,Croston,160.53904724121094
sku492,SARIMA,0.0
sku498,Theta,17.711995390343823
sku499,Theta,28.554741582873294
sku652,Theta,111.81866861126227
sku709,Croston,330.75634765625
sku716,Theta,117.79238305158671
sku734,SARIMA,0.0
sku824,SARIMA,320.0214541866633
sku835,SARIMA,405.04946879605484
sku837,Croston,523.7667236328125
sku858,ARIMA,840.9455762586612
sku859,ARIMA,618.7716907856592
sku861,Croston,125.90558624267578
sku862,ARIMA,612.2433963842559
sku863,Theta,286.64933119565063
sku903,ARIMA,363.69723232801033
sku905,ARIMA,138.111082099364
sku947,SARIMA,14.701438110440591
sku949,SARIMA,0.0
